open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2023-12-15 00:00:00,1363.8,1364.9,1346.8,1354.9,4363.629,5909145.72,26864,1958.742,2652198.1802
2023-12-15 04:00:00,1354.9,1356.2,1343.1,1346.7,2354.301,3176164.187,19573,1142.567,1541137.4823
2023-12-15 08:00:00,1346.6,1347.6,1332.8,1334.9,5466.584,7324196.129,34143,2750.55,3684941.5229
2023-12-15 12:00:00,1334.9,1336.2,1310.5,1322.0,5839.48,7747756.2684,45286,2897.491,3844511.6378
2023-12-15 16:00:00,1322.0,1328.6,1318.6,1326.1,2653.785,3514283.2654,22775,1264.893,1674998.4081
2023-12-15 20:00:00,1326.2,1331.4,1301.0,1314.0,4788.774,6314013.7791,31227,2196.371,2896242.1798
2023-12-16 00:00:00,1314.1,1324.0,1301.4,1323.5,5958.802,7824829.9244,38922,2681.548,3522080.5213
2023-12-16 04:00:00,1323.4,1328.1,1321.6,1327.4,1911.888,2533943.2993,15398,975.826,1293376.0132
2023-12-16 08:00:00,1327.4,1336.6,1324.6,1336.5,2133.408,2837801.7625,18774,1046.739,1392610.8154
2023-12-16 12:00:00,1336.4,1339.6,1326.6,1332.7,2999.379,3999648.0388,20798,1493.134,1990946.2333
2023-12-16 16:00:00,1332.9,1333.6,1316.8,1324.4,3769.25,4998966.3697,29516,1788.267,2371314.9812
2023-12-16 20:00:00,1324.4,1330.6,1321.1,1330.3,2037.113,2701515.9134,16847,1037.047,1375282.5647
2023-12-17 00:00:00,1330.2,1338.8,1324.0,1331.8,2660.463,3544103.7403,22119,1347.194,1794843.8745
2023-12-17 04:00:00,1331.8,1337.5,1317.5,1319.9,2958.94,3928677.3865,21662,1413.546,1876573.2836
2023-12-17 08:00:00,1320.0,1337.7,1317.7,1336.5,2329.144,3091229.8976,20329,1228.343,1630636.6092
2023-12-17 12:00:00,1336.6,1348.2,1320.5,1341.3,5234.988,6990981.4902,36406,2601.875,3474964.8988
2023-12-17 16:00:00,1341.2,1347.5,1332.4,1337.6,4471.26,5993030.9008,28446,1908.668,2559262.2878
2023-12-17 20:00:00,1337.6,1343.2,1312.5,1318.2,3360.767,4464814.9005,24533,1553.203,2063839.2337
2023-12-18 00:00:00,1318.2,1321.5,1282.2,1292.4,5858.166,7621385.7635,37636,2783.561,3622926.3121
2023-12-18 04:00:00,1292.5,1304.1,1285.9,1290.1,3635.732,4713782.0569,22271,1890.853,2451689.6256
2023-12-18 08:00:00,1290.2,1298.2,1253.0,1283.3,10517.88,13402502.6549,60422,5135.904,6546347.3312
2023-12-18 12:00:00,1283.3,1295.4,1279.4,1283.4,5239.465,6746267.2436,34507,2514.743,3237541.3612
2023-12-18 16:00:00,1283.4,1289.2,1278.0,1284.0,3625.327,4655099.9091,25811,1766.249,2268055.6152
2023-12-18 20:00:00,1284.0,1293.1,1282.0,1291.5,3203.267,4129258.261,24675,1608.376,2073040.7416
2023-12-19 00:00:00,1291.5,1312.3,1288.9,1299.6,4411.708,5735705.3091,29072,2281.36,2966171.8054
2023-12-19 04:00:00,1299.6,1306.9,1294.4,1299.0,2935.197,3816161.9598,20337,1484.997,1930891.0437
2023-12-19 08:00:00,1298.9,1299.9,1260.3,1280.7,12696.479,16201014.1524,71492,6553.631,8359815.1473
2023-12-19 12:00:00,1280.8,1284.3,1268.5,1279.4,7311.014,9336367.3619,44569,3468.961,4429948.1027
2023-12-19 16:00:00,1279.3,1290.3,1262.4,1288.2,6161.989,7859024.3863,42655,3058.045,3900343.0835
2023-12-19 20:00:00,1288.0,1292.3,1277.6,1292.1,3312.753,4261951.9731,26251,1497.854,1927210.9285
2023-12-20 00:00:00,1292.1,1300.9,1284.2,1299.8,5451.969,7049951.9036,30983,3248.641,4202551.688
2023-12-20 04:00:00,1299.8,1315.6,1296.0,1315.5,4639.939,6045491.0855,26508,2084.087,2716585.6075
2023-12-20 08:00:00,1315.4,1320.0,1306.0,1317.6,4878.283,6407585.0435,30649,2275.952,2989914.7963
2023-12-20 12:00:00,1317.5,1320.6,1300.7,1305.1,6378.847,8363589.9348,37123,3041.508,3988485.2753
2023-12-20 16:00:00,1305.1,1309.1,1292.0,1292.5,3162.521,4121757.7871,26704,1441.521,1879622.2097
2023-12-20 20:00:00,1292.3,1294.5,1272.7,1288.6,4132.235,5301809.6743,34143,2032.684,2608017.1312
2023-12-21 00:00:00,1288.6,1305.0,1286.5,1302.2,2478.924,3208619.0471,24772,1282.691,1660138.0471
2023-12-21 04:00:00,1302.2,1311.8,1299.2,1305.4,2115.416,2760924.1438,17135,893.135,1165615.0447
2023-12-21 08:00:00,1305.5,1316.3,1297.0,1313.2,2751.213,3600357.5234,21661,1414.904,1852210.8164
2023-12-21 12:00:00,1313.3,1319.6,1297.0,1303.2,4572.664,5979031.2974,30162,2275.661,2976223.4598
2023-12-21 16:00:00,1303.1,1317.7,1300.2,1317.7,3543.349,4642200.7059,23458,1723.711,2257975.8578
